name,type,breed,age
"Rhea, common",Cécilia,Rhea americana,1
Tasmanian devil,Danièle,Sarcophilus harrisii,2
European red squirrel,Béatrice,Sciurus vulgaris,3
"Hawk, galapagos",Maï,Buteo galapagoensis,4
"Meerkat, red",Maëly,Cynictis penicillata,5
"Heron, striated",Eléonore,Butorides striatus,6
"Toucan, red-billed",Séverine,Ramphastos tucanus,7
American badger,Gisèle,Taxidea taxus,8
Tiger,Yè,Panthera tigris,9
"Cat, civet",Lèi,Bassariscus astutus,10
River wallaby,Léonore,Macropus agilis,11
White-necked raven,Adélie,Corvus albicollis,12
Kaffir cat,Cunégonde,Felis silvestris lybica,13
"Goose, cape barren",Solène,Cereopsis novaehollandiae,14
Hawk-headed parrot,Loïs,Deroptyus accipitrinus,15
Salmon pink bird eater tarantula,Garçon,Lasiodora parahybana,16
Aardwolf,Athéna,Proteles cristatus,17
"Fox, bat-eared",Publicité,Otocyon megalotis,18
American bison,Marie-thérèse,Bison bison,19
"Langur, hanuman",Loïs,Semnopithecus entellus,20
"Hornbill, yellow-billed",Tú,Tockus flavirostris,21
Emu,Mélina,Dromaeus novaehollandiae,22
"Seal, harbor",Pénélope,Phoca vitulina,23
"Robin, kalahari scrub",Yénora,Certotrichas paena,24
"Creeper, black-tailed tree",Néhémie,Climacteris melanura,25
Giant girdled lizard,Östen,Cordylus giganteus,26
"Eagle, white-bellied sea",Mylène,Haliaetus leucogaster,27
"Booby, masked",Hélène,Sula dactylatra,28
"Catfish, blue",Maïwenn,Ictalurus furcatus,29
"Gazer, sun",Alizée,Cordylus giganteus,30
Superb starling,Séréna,Lamprotornis superbus,31
Black bear,Estève,Ursus americanus,32
Mallard,Léonore,Anas platyrhynchos,33
"Squirrel, uinta ground",Chloé,Spermophilus armatus,34
"Bettong, brush-tailed",Léone,Bettongia penicillata,35
"Antelope, four-horned",Léane,Tetracerus quadricornis,36
"Jackal, black-backed",Ruì,Canis mesomelas,37
Wild water buffalo,Camélia,Bubalus arnee,38
Hudsonian godwit,Mélanie,Limosa haemastica,39
Sea birds (unidentified),Maëlyss,unavailable,40
"Owl, burrowing",Frédérique,Speotyte cuniculata,41
Old world fruit bat (unidentified),Gaïa,unavailable,42
"Crane, wattled",Aloïs,Bugeranus caruncalatus,43
"Buffalo, asian water",Liè,Bubalus arnee,44
"Gorilla, western lowland",Loïca,Gorilla gorilla,45
Savannah deer (unidentified),Dorothée,unavailable,46
Gray heron,Laurène,Ardea cinerea,47
Giant otter,Léandre,Pteronura brasiliensis,48
"Tern, arctic",Méline,Sterna paradisaea,49
African buffalo,Solène,Snycerus caffer,50
Scaly-breasted lorikeet,Maïwenn,Trichoglossus chlorolepidotus,51
"Phalarope, grey",Görel,Phalaropus fulicarius,52
Long-tailed skua,Léane,Stercorarius longicausus,53
"Glider, squirrel",Mélodie,Petaurus norfolcensis,54
Dusky rattlesnake,Noëlla,Crotalus triseriatus,55
Pallas's fish eagle,Måns,Haliaeetus leucoryphus,56
"Cockatoo, long-billed",Clémence,Cacatua tenuirostris,57
Arctic tern,Yè,Sterna paradisaea,58
Eastern indigo snake,Åke,Drymarchon corias couperi,59
"Stork, openbill",Méng,Anastomus oscitans,60
"Lemming, arctic",Eliès,Dicrostonyx groenlandicus,61
"Cat, long-tailed spotted",Edmée,Felis wiedi or Leopardus weidi,62
Laughing kookaburra,Léonore,Dacelo novaeguineae,63
European red squirrel,Bécassine,Sciurus vulgaris,64
Onager,Wá,Equus hemionus,65
"Dragon, western bearded",Styrbjörn,Amphibolurus barbatus,66
Australian spiny anteater,Stévina,Tachyglossus aculeatus,67
"Crab, red lava",Loïs,Graspus graspus,68
"Owl, burrowing",Pénélope,Speotyte cuniculata,69
"Kudu, greater",Salomé,Tragelaphus strepsiceros,70
South American sea lion,Märta,Otaria flavescens,71
Adouri (unidentified),Maëline,unavailable,72
Mexican boa,Åke,Boa constrictor mexicana,73
"Snake, carpet",Magdalène,Morelia spilotes variegata,74
"Fox, grey",Andréa,Vulpes cinereoargenteus,75
Emerald green tree boa,Mylène,Boa caninus,76
Warthog,Ráo,Phacochoerus aethiopus,77
"Gorilla, western lowland",Marie-thérèse,Gorilla gorilla,78
Bee-eater (unidentified),Maëly,Merops sp.,79
"Armadillo, giant",Nadège,Priodontes maximus,80
Snowy egret,Maëlle,Egretta thula,81
Koala,Cléa,Phascolarctos cinereus,82
Ibex,Méng,Capra ibex,83
"Marshbird, brown and yellow",Magdalène,Pseudoleistes virescens,84
White-mantled colobus,Marlène,Colobus guerza,85
Black-necked stork,Léonore,Ephippiorhynchus mycteria,86
"Wallaby, river",Ophélie,Macropus agilis,87
Turtle (unidentified),Amélie,unavailable,88
"Heron, green",Maïlys,Butorides striatus,89
Ovenbird,Intéressant,Seiurus aurocapillus,90
"Gull, herring",Léonie,unavailable,91
"Cat, civet",Illustrée,Bassariscus astutus,92
Giant armadillo,Médiamass,Priodontes maximus,93
"Oryx, beisa",Mélia,Oryx gazella,94
"Partridge, coqui",Cécilia,Francolinus coqui,95
Mallard,Sòng,Anas platyrhynchos,96
"Loris, slender",Rébecca,Loris tardigratus,97
Lily trotter,Méthode,Actophilornis africanus,98
Glossy starling (unidentified),Åsa,Lamprotornis sp.,99
"Constrictor, eastern boa",Joséphine,Acrantophis madagascariensis,100
Puna ibis,Marie-thérèse,Plegadis ridgwayi,101
"Viper, egyptian",Magdalène,Naja haje,102
Tayra,Crééz,Eira barbata,103
Sarus crane,Táng,Grus antigone,104
"Otter, brazilian",Gösta,Pteronura brasiliensis,105
Kaffir cat,Océane,Felis silvestris lybica,106
"Squirrel, antelope ground",Lóng,Ammospermophilus nelsoni,107
"Skua, great",Rachèle,Catharacta skua,108
Lesser double-collared sunbird,Faîtes,Nectarinia chalybea,109
"Gazelle, grant's",Cloé,Gazella granti,110
"Rhinoceros, white",Néhémie,Ceratotherium simum,111
"Zebra, plains",André,Equus burchelli,112
"Spider, wolf",Cécilia,Lycosa godeffroyi,113
Yellow-brown sungazer,Mégane,Cordylus giganteus,114
Water monitor,Mårten,Varanus salvator,115
"Possum, ring-tailed",Cléa,Pseudocheirus peregrinus,116
"Grouse, sage",Gwenaëlle,Centrocercus urophasianus,117
"Tinamou, elegant crested",André,Eudromia elegans,118
"Nuthatch, red-breasted",Méthode,Sitta canadensis,119
Cape fox,Gaëlle,Vulpes chama,120
Red meerkat,Angélique,Cynictis penicillata,121
Large cormorant,Ráo,Phalacrocorax carbo,122
Chimpanzee,Cunégonde,Pan troglodytes,123
Hanuman langur,Mårten,Semnopithecus entellus,124
Mexican wolf,Audréanne,Canis lupus baileyi,125
"Magpie, black-backed",Marie-josée,Gymnorhina tibicen,126
Olive baboon,Cunégonde,Papio cynocephalus,127
"Gonolek, burchell's",Mélina,Laniaurius atrococcineus,128
"Devil, tasmanian",Bérénice,Sarcophilus harrisii,129
"Lizard, frilled",Stéphanie,Chlamydosaurus kingii,130
Stick insect,Mårten,Leprocaulinus vipera,131
Red-winged hawk (unidentified),Marie-ève,unavailable,132
Northern phalarope,Irène,Phalaropus lobatus,133
Jaguarundi,Estée,Felis yagouaroundi,134
"Squirrel, uinta ground",Pò,Spermophilus armatus,135
Malagasy ground boa,Maïwenn,Acrantophis madagascariensis,136
Margay,Intéressant,Felis wiedi or Leopardus weidi,137
Great skua,Léonore,Catharacta skua,138
Bengal vulture,Méng,Gyps bengalensis,139
"Fox, crab-eating",Estée,Dusicyon thous,140
"Rabbit, eastern cottontail",Laurène,Sylvilagus floridanus,141
"Darter, african",Märta,Anhinga rufa,142
Red-knobbed coot,Zhì,Fulica cristata,143
"Rat, white-faced tree",Loïca,Echimys chrysurus,144
Manatee,Dù,Trichechus inunguis,145
"Shrike, southern white-crowned",Yénora,Eurocephalus anguitimens,146
"Gnu, brindled",Yè,Connochaetus taurinus,147
King cormorant,Cunégonde,Phalacrocorax albiventer,148
Asian elephant,Kévina,Elephas maximus bengalensis,149
"Beaver, eurasian",Athéna,Castor fiber,150
Glossy starling (unidentified),Gwenaëlle,Lamprotornis sp.,151
Cape Barren goose,Torbjörn,Cereopsis novaehollandiae,152
"Colobus, white-mantled",Yú,Colobus guerza,153
Common dolphin,Mégane,Delphinus delphis,154
African wild cat,Fèi,Felis silvestris lybica,155
Griffon vulture,Méghane,Gyps fulvus,156
Painted stork,Kallisté,Mycteria leucocephala,157
Mississippi alligator,Marie-josée,Alligator mississippiensis,158
"Dove, mourning collared",Méghane,Streptopelia decipiens,159
"Kangaroo, western grey",Aloïs,Macropus fuliginosus,160
Common zorro,Rachèle,Dusicyon thous,161
Bontebok,Maéna,Damaliscus dorcas,162
"Heron, green-backed",Miléna,Butorides striatus,163
"Cobra, egyptian",Zoé,Naja haje,164
"Drongo, fork-tailed",Thérèse,Dicrurus adsimilis,165
Brown antechinus,Aurélie,Antechinus flavipes,166
Eastern cottontail rabbit,Stévina,Sylvilagus floridanus,167
"Hartebeest, red",Aí,Alcelaphus buselaphus caama,168
Ornate rock dragon,Dà,Ctenophorus ornatus,169
"Pelican, eastern white",Bécassine,Pelecans onocratalus,170
"Penguin, galapagos",Jú,Spheniscus mendiculus,171
Warthog,Maïlys,Phacochoerus aethiopus,172
Alpaca,Gaétane,Lama pacos,173
"Jaeger, long-tailed",Crééz,Stercorarius longicausus,174
"Beaver, american",Lén,Castor canadensis,175
"Barbet, crested",Régine,Trachyphonus vaillantii,176
"Viper, egyptian",Kuí,Naja haje,177
"Echidna, short-beaked",Marie-ève,Tachyglossus aculeatus,178
"Nuthatch, red-breasted",Pò,Sitta canadensis,179
"Dragon, asian water",Dù,Physignathus cocincinus,180
"Marmot, hoary",Andréanne,Marmota caligata,181
Southern lapwing,Maëline,Vanellus chilensis,182
Curve-billed thrasher,Noémie,Toxostoma curvirostre,183
Stanley bustard,Angélique,Neotis denhami,184
"Admiral, indian red",Adèle,Vanessa indica,185
African clawless otter,Michèle,Aonyx capensis,186
Long-tailed spotted cat,Véronique,Felis wiedi or Leopardus weidi,187
Caracara (unidentified),Eléa,unavailable,188
"Beaver, north american",Örjan,Castor canadensis,189
Small-clawed otter,Cécile,Aonyx cinerea,190
"Raccoon, common",Séréna,Procyon lotor,191
Small-toothed palm civet,Lucrèce,Arctogalidia trivirgata,192
Hanuman langur,Néhémie,Semnopithecus entellus,193
"Dove, ring",Uò,Columba palumbus,194
Horned rattlesnake,Andréanne,Crotalus cerastes,195
Asian false vampire bat,Crééz,Megaderma spasma,196
Long-crested hawk eagle,Néhémie,Lophoaetus occipitalis,197
Galapagos sea lion,Lorène,Zalophus californicus,198
Crested barbet,Félicie,Trachyphonus vaillantii,199
Purple moorhen,Marylène,Porphyrio porphyrio,200
Stick insect,Maéna,Leprocaulinus vipera,201
Common goldeneye,Loïca,Bucephala clangula,202
"Hyena, striped",Liè,Hyaena hyaena,203
"Butterfly, canadian tiger swallowtail",Yénora,Papilio canadensis,204
Black-necked stork,Néhémie,Ephippiorhynchus mycteria,205
"Wapiti, elk,",Léa,Cervus canadensis,206
Helmeted guinea fowl,Loïs,Numida meleagris,207
"Stork, greater adjutant",Fèi,Leptoptilus dubius,208
"Fox, savanna",Judicaël,Dusicyon thous,209
Great kiskadee,Tán,Pitangus sulphuratus,210
"Albatross, waved",Tán,Diomedea irrorata,211
African darter,Yè,Anhinga rufa,212
Laughing kookaburra,Stévina,Dacelo novaeguineae,213
"Screamer, crested",Styrbjörn,Chauna torquata,214
"Pelican, brown",Nadège,Pelecanus occidentalis,215
Adouri (unidentified),Michèle,unavailable,216
"Trumpeter, green-winged",Maïlis,Psophia viridis,217
Mexican beaded lizard,Marie-thérèse,Heloderma horridum,218
Sacred ibis,Clémence,Threskionis aethiopicus,219
Burmese black mountain tortoise,Gösta,Manouria emys,220
"Finch, common melba",Judicaël,Pytilia melba,221
"Squirrel, pine",Håkan,Tamiasciurus hudsonicus,222
Little grebe,Méng,Tachybaptus ruficollis,223
"Quoll, spotted-tailed",Félicie,Dasyurus maculatus,224
"Raven, cape",André,Corvus albicollis,225
"Hare, arctic",Judicaël,Lepus arcticus,226
Green-winged macaw,Océane,Ara chloroptera,227
Canada goose,Marie-hélène,Branta canadensis,228
Tiger cat,Maïté,Dasyurus maculatus,229
Brown capuchin,Mahélie,Cebus apella,230
"Langur, gray",Maï,Semnopithecus entellus,231
Cape Barren goose,Geneviève,Cereopsis novaehollandiae,232
Wattled crane,Wá,Bugeranus caruncalatus,233
Large cormorant,Pål,Phalacrocorax carbo,234
Kelp gull,Rébecca,Larus dominicanus,235
Green heron,Lén,Butorides striatus,236
"Baboon, savanna",Maïté,Papio cynocephalus,237
Black-collared barbet,Athéna,Lybius torquatus,238
"Brocket, red",Sélène,Mazama americana,239
"Racer, american",Börje,Coluber constrictor,240
Black-fronted bulbul,Geneviève,Pycnonotus nigricans,241
Yak,Léandre,Bos mutus,242
"Bird, black-throated butcher",Agnès,Cracticus nigroagularis,243
"Fowl, helmeted guinea",Néhémie,Numida meleagris,244
South American sea lion,Gisèle,Otaria flavescens,245
"Squirrel, golden-mantled ground",Pål,Spermophilus lateralis,246
"Sloth, hoffman's",Anaïs,Choloepus hoffmani,247
Asian water dragon,Ruò,Physignathus cocincinus,248
Desert tortoise,Pål,Gopherus agassizii,249
Golden jackal,Maëlyss,Canis aureus,250
"Nutcracker, clark's",Maëly,Nucifraga columbiana,251
"Snake, tiger",Andréa,Notechis semmiannulatus,252
Frog (unidentified),Noëlla,Rana sp.,253
Tiger cat,Camélia,Dasyurus maculatus,254
"Oystercatcher, blackish",Estée,Haematopus ater,255
Bohor reedbuck,Agnès,Redunca redunca,256
Two-toed sloth,Ráo,Choloepus hoffmani,257
Savanna baboon,Esbjörn,Papio cynocephalus,258
Gray rhea,Laïla,Rhea americana,259
Brazilian otter,Vérane,Pteronura brasiliensis,260
Crab (unidentified),Esbjörn,unavailable,261
Golden brush-tailed possum,Mélinda,Trichosurus vulpecula,262
"Penguin, little blue",Anaël,Eudyptula minor,263
Brush-tailed phascogale,Lauréna,Phascogale tapoatafa,264
Lizard (unidentified),Bérengère,unavailable,265
Komodo dragon,Mélissandre,Varanus komodensis,266
Llama,Styrbjörn,Lama glama,267
Spotted hyena,Amélie,Crocuta crocuta,268
"Rhea, gray",Véronique,Rhea americana,269
"Gull, southern black-backed",Vénus,Larus dominicanus,270
Mallard,Léa,Anas platyrhynchos,271
Egyptian goose,Gwenaëlle,Alopochen aegyptiacus,272
"Heron, black-crowned night",Agnès,Nycticorax nycticorax,273
Common dolphin,Aurélie,Delphinus delphis,274
Serval,Bérénice,Felis serval,275
"Goose, snow",Illustrée,Anser caerulescens,276
Hottentot teal,Inès,Anas punctata,277
"Leopard, indian",Maëlys,Panthera pardus,278
Superb starling,Mylène,Lamprotornis superbus,279
"Dik, kirk's dik",Néhémie,Madoqua kirkii,280
Crown of thorns starfish,Maëlann,Acanthaster planci,281
Long-tailed spotted cat,Edmée,Felis wiedi or Leopardus weidi,282
"Monkey, red howler",Rachèle,Alouatta seniculus,283
"Heron, green",Lóng,Butorides striatus,284
Spotted wood sandpiper,Tán,Tringa glareola,285
Eastern grey kangaroo,Josée,Macropus giganteus,286
"Sparrow, house",Maëlle,Passer domesticus,287
Black curlew,Andréa,Haematopus ater,288
North American river otter,Mélanie,Lutra canadensis,289
Meerkat,Eloïse,Suricata suricatta,290
Scarlet macaw,Naéva,Ara macao,291
"Tortoise, burmese black mountain",Méthode,Manouria emys,292
Dark-winged trumpeter,Magdalène,Psophia viridis,293
"Dog, african wild",Maïly,Lycaon pictus,294
Stanley crane,Maëlyss,Anthropoides paradisea,295
"Hornbill, yellow-billed",Maïwenn,Tockus flavirostris,296
"Goat, mountain",Görel,Oreamnos americanus,297
Ferruginous hawk,Gaïa,Buteo regalis,298
"Macaw, green-winged",Irène,Ara chloroptera,299
"Gorilla, western lowland",Mélinda,Gorilla gorilla,300
"Armadillo, giant",Michèle,Priodontes maximus,301
"Falcon, peregrine",Aloïs,Falco peregrinus,302
Adouri (unidentified),Lài,unavailable,303
"Polecat, african",Océanne,Ictonyx striatus,304
Mexican boa,Maëline,Boa constrictor mexicana,305
Blue crane,Laurélie,Anthropoides paradisea,306
Pygmy possum,Ruò,Acrobates pygmaeus,307
