name,type,breed,age
White-fronted capuchin,Cebus albifrons,Bettongia penicillata,1
"Flamingo, chilean",Phoenicopterus chilensis,Falco peregrinus,2
"Bulbul, black-eyed",Pycnonotus barbatus,Grus rubicundus,3
"Bustard, denham's",Neotis denhami,Semnopithecus entellus,4
"Beaver, european",Castor fiber,Boa caninus,5
Brown antechinus,Antechinus flavipes,Leptoptilus dubius,6
"Gnu, brindled",Connochaetus taurinus,Chionis alba,7
Seven-banded armadillo,Dasypus septemcincus,Chlamydosaurus kingii,8
"Wallaby, agile",Macropus agilis,Tauraco porphyrelophus,9
Honey badger,Mellivora capensis,Sarcorhamphus papa,10
Mallard,Anas platyrhynchos,Paraxerus cepapi,11
"Hare, arctic",Lepus arcticus,Caiman crocodilus,12
"Mynah, common",Acridotheres tristis,Numida meleagris,13
Golden jackal,Canis aureus,Ninox superciliaris,14
"Grouse, greater sage",Centrocercus urophasianus,Psittacula krameri,15
African fish eagle,Haliaetus vocifer,Neotis denhami,16
Carpet python,Morelia spilotes variegata,Iguana iguana,17
Grison,Galictis vittata,Anitibyx armatus,18
Small-toothed palm civet,Arctogalidia trivirgata,Colobus guerza,19
"Jackal, black-backed",Canis mesomelas,Fratercula corniculata,20
Dromedary camel,Camelus dromedarius,Butorides striatus,21
Eastern dwarf mongoose,Helogale undulata,Balearica pavonina,22
Swainson's francolin,Francolinus swainsonii,Cynictis penicillata,23
Ovenbird,Seiurus aurocapillus,Eudyptula minor,24
"Porcupine, north american",Erethizon dorsatum,Microcebus murinus,25
Turtle (unidentified),unavailable,Numida meleagris,26
Oriental short-clawed otter,Aonyx cinerea,Didelphis virginiana,27
Black bear,Ursus americanus,Panthera pardus,28
"Sparrow, rufous-collared",Zonotrichia capensis,Centrocercus urophasianus,29
"Cormorant, neotropic",Phalacrocorax brasilianus,Physignathus cocincinus,30
Fringe-eared oryx,Oryx gazella callotis,Smithopsis crassicaudata,31
"Cat, miner's",Bassariscus astutus,Mazama gouazoubira,32
"Duiker, common",Sylvicapra grimma,Colobus guerza,33
White-necked stork,Ciconia episcopus,Uraeginthus angolensis,34
Red-winged blackbird,Agelaius phoeniceus,Odocoileus hemionus,35
Cape wild cat,Felis libyca,Porphyrio porphyrio,36
Feral rock pigeon,Columba livia,Cacatua tenuirostris,37
"Possum, golden brush-tailed",Trichosurus vulpecula,Macropus agilis,38
"Skink, blue-tongued",Tiliqua scincoides,Corvus albus,39
Bengal vulture,Gyps bengalensis,Larus dominicanus,40
Wattled crane,Bugeranus caruncalatus,Anas bahamensis,41
"Stork, black-necked",Ephippiorhynchus mycteria,Phalaropus lobatus,42
Roseate cockatoo,Eolophus roseicapillus,Spermophilus richardsonii,43
Steenbok,Raphicerus campestris,Cercatetus concinnus,44
Southern tamandua,Tamandua tetradactyla,Aonyx cinerea,45
American racer,Coluber constrictor,Ninox superciliaris,46
"Porcupine, indian",Hystrix indica,Haematopus ater,47
Carpet python,Morelia spilotes variegata,Castor fiber,48
"Gonolek, burchell's",Laniaurius atrococcineus,Sula nebouxii,49
Tailless tenrec,Tenrec ecaudatus,Nasua narica,50
"Ibis, glossy",Plegadis falcinellus,Vicugna vicugna,51
Feral rock pigeon,Columba livia,Alopex lagopus,52
"Wombat, southern hairy-nosed",Lasiorhinus latifrons,Vulpes vulpes,53
South American sea lion,Otaria flavescens,Coluber constrictor,54
"Bat, madagascar fruit",Pteropus rufus,Ovibos moschatus,55
White-fronted capuchin,Cebus albifrons,Cordylus giganteus,56
"Avocet, pied",Recurvirostra avosetta,Meleagris gallopavo,57
"Squirrel, golden-mantled ground",Spermophilus lateralis,Anas platyrhynchos,58
Red-billed hornbill,Tockus erythrorhyncus,Sula dactylatra,59
"Beaver, eurasian",Castor fiber,Bassariscus astutus,60
"Cat, toddy",Paradoxurus hermaphroditus,Tachyglossus aculeatus,61
"Peacock, blue",Pavo cristatus,Spermophilus tridecemlineatus,62
"Glider, squirrel",Petaurus norfolcensis,Colobus guerza,63
Pine siskin,Carduelis pinus,Ciconia episcopus,64
Olive baboon,Papio cynocephalus,Varanus sp.,65
"Dove, white-winged",Zenaida asiatica,Chloephaga melanoptera,66
Tawny frogmouth,Podargus strigoides,Tadorna tadorna,67
Long-necked turtle,Chelodina longicollis,Platalea leucordia,68
Thirteen-lined squirrel,Spermophilus tridecemlineatus,Kobus defassa,69
"Civet, small-toothed palm",Arctogalidia trivirgata,Ceratotherium simum,70
"Squirrel, arctic ground",Spermophilus parryii,Eolophus roseicapillus,71
